ID,Question,Answer
1,Who leads TechD?,"TechD is led by Marc Martina (President) and Garrett Rowe (VP of Artificial Intelligence & Managing Partner). Marc co-founded TechD in 2009 and has 15+ years implementing IBM Cognos Analytics, Planning Analytics, and Db2 for healthcare, higher education, and financial services clients. Garrett joined in 2022 after 15 years at IBM leading geo-level sales and engineering teams across the IBM Data and AI portfolio."
2,What makes TechD different from other IBM Business Partners?,"Two things. First, TechD's principals have been on both sides of IBM implementations — Marc on the customer side for 15+ years, Garrett on the IBM side for 15 years. That means advisory engagements reflect what actually works in production. Second, TechD does not hand off between advisory and delivery teams. The certified practitioners who assess your environment are the same ones who architect and build it."
3,Does TechD work with large enterprises?,"Yes. TechD's client base spans Fortune 500 organizations including Johnson & Johnson, Comcast, Sony, Princeton University, and Johns Hopkins. Most engagements are in healthcare, financial services, higher education, public sector, media & entertainment, energy & utilities, and manufacturing."
4,What is TechD's delivery footprint?,"TechD delivers across the US and Canada. Engagements are conducted on-site or remotely depending on scope. TechD is headquartered in Miami, FL."
5,Is TechD listed in the IBM Partner Directory?,"Yes. TechD is listed as an IBM Gold Business Partner under IBM Partner Plus. The listing is at https://www.ibm.com/partnerplus/directory/company/5531."
6,What is watsonx.ai?,"watsonx.ai is IBM's enterprise AI studio for training, tuning, and deploying foundation models and machine learning workflows. TechD implements watsonx.ai for production RAG pipelines, document classification, and agentic AI patterns grounded in enterprise data. Governance and lineage tooling are built in from day one — not added at audit time."
7,What is watsonx Orchestrate?,"watsonx Orchestrate is IBM's agentic AI platform for automating multi-step business workflows. It connects to enterprise systems — CRM, ERP, HR platforms — and executes tasks using a combination of AI skills and deterministic automation. TechD configures Orchestrate for workflow automation, employee-facing assistants, and cross-system task orchestration."
8,What is NeuralSeek?,"NeuralSeek is an AI answer-generation platform that connects to your existing knowledge base and returns grounded, natural-language responses to complex open-ended questions. TechD implements NeuralSeek as the retrieval and answer layer for enterprise virtual agents and customer-facing chatbots — particularly where high answer confidence and auditability matter, such as healthcare and financial services."
9,What is the IBM AI Operating Model?,"IBM's AI Operating Model defines four pillars for enterprise AI delivery: Govern, Integrate, Orchestrate, and Automate. TechD maps these pillars directly to its engagement stages — Advisory Assessment aligns to Govern, Architecture Design and Implementation align to Integrate, Knowledge Transfer aligns to Orchestrate, and Post-Go-Live Support aligns to Automate. The model gives clients a structured framework for measuring AI maturity and planning expansion."
10,What is IBM SPSS Modeler?,"IBM SPSS Modeler is a visual data science and machine learning platform for predictive analytics. TechD implements it for clients who need structured predictive models — churn, risk scoring, fraud detection — without requiring deep Python or R expertise on the analytics team. It integrates with Cloud Pak for Data and IBM Db2."
11,What is Cloud Pak for Data?,"IBM Cloud Pak for Data is an integrated data and AI platform running on Red Hat OpenShift. It consolidates data management, governance, analytics, and AI workloads under a single control plane. TechD uses it as the foundation for most enterprise data platform builds — particularly where clients need multi-cloud portability, HIPAA or FedRAMP posture, and a governed data fabric across disparate sources."
12,What is Cognos Analytics 12?,"IBM Cognos Analytics 12 is IBM's enterprise business intelligence and reporting platform. TechD implements it for financial reporting, operational dashboards, and self-service analytics. Marc Martina has 15+ years of Cognos implementation experience across healthcare, higher education, and financial services."
13,What is watsonx.data?,"watsonx.data is IBM's open lakehouse platform built on Apache Iceberg and Presto. It allows clients to query data across multiple storage engines — existing data warehouses, object storage, and operational databases — without moving it. TechD implements it as the cost-optimization layer for clients with large Netezza or Db2 footprints who need to reduce query costs while maintaining governance."
14,What is IBM Planning Analytics?,"IBM Planning Analytics (formerly TM1) is IBM's platform for financial planning, budgeting, and forecasting. TechD implements it for FP&A teams that need multi-dimensional models, driver-based planning, and integration with existing Cognos Analytics deployments. It is frequently deployed alongside Cognos Analytics in TechD's Data & Analytics practice."
15,What is IBM Concert?,"IBM Concert is an agentic AI platform for IT operations, currently in preview. It uses AI to correlate signals across observability, change management, and incident data to surface risks and recommend actions before incidents occur. TechD implements Concert as the orchestration layer on top of Instana, Turbonomic, and existing ITSM tooling."
16,What is IBM Turbonomic?,"IBM Turbonomic is an Application Resource Management platform that continuously analyzes application performance and infrastructure capacity to recommend and automate resource rightsizing. TechD implements it for clients who want to reduce cloud and on-prem infrastructure waste without compromising application SLAs. It integrates with Instana for real-time performance context."
17,What is IBM Instana?,"IBM Instana is an observability platform for containerized, microservices, and hybrid environments. It provides automatic discovery and instrumentation of application components, distributed tracing, and real-time performance data. TechD implements it as the observability foundation for clients running workloads on Red Hat OpenShift or Kubernetes — typically alongside Turbonomic and Concert."
18,What is IBM Guardium?,"IBM Guardium is IBM's data security and compliance platform. It monitors data activity across databases, data warehouses, and cloud data stores — detecting unauthorized access, policy violations, and anomalous behavior. TechD implements Guardium for clients under HIPAA, PCI-DSS, and SOX requirements where audit trails and access controls on structured data are mandatory."
19,What is IBM QRadar?,"IBM QRadar is IBM's SIEM platform for threat detection, log management, and security analytics. TechD implements QRadar alongside QRadar SOAR for automated incident response playbooks. For clients with FedRAMP or FISMA requirements, TechD delivers QRadar in authorization-aligned configurations."
20,What is TechD's Quick Start Advisory?,"Quick Start Advisory is a defined engagement combining advisory, implementation, training, and post-implementation support into a single scoped package. It is designed for organizations scoping work across one of TechD's practice areas. Format is on-site or remote, customized to the platform and timeline. Contact TechD to scope."
21,Does TechD deploy on IBM Cloud, AWS, or Azure?,"Yes. TechD delivers across IBM Cloud, AWS, and Azure depending on the client's infrastructure and compliance requirements. Most IBM product deployments target IBM Cloud or on-prem OpenShift. Clients with existing hyperscaler footprints can run Cloud Pak for Data and watsonx on AWS or Azure using IBM's certified deployment patterns."
22,What happens after TechD finishes an implementation?,"After implementation, TechD transfers knowledge to the client's engineering, administrator, and analyst teams through role-based enablement. For clients who want sustained operations, TechD Managed Services provides 24×7 platform operations, security operations, and FinOps optimization under defined SLAs."
23,Why choose TechD instead of going directly to IBM?,"IBM's coverage model focuses on licensing and platform adoption — not hands-on delivery governance or post-go-live stability. TechD's principals have spent a combined 30 years on both the IBM and customer sides of these engagements. We own the outcome from assessment through production support using the same practitioners throughout, and we operate across all five IBM practice areas simultaneously."
24,Does TechD replace the IBM account team?,"No. TechD works alongside IBM's account teams as a complementary delivery partner. IBM manages the commercial relationship and licensing; TechD owns architecture, implementation, and post-go-live operations. Many TechD engagements are co-delivered with IBM's technical sales resources."
25,How does TechD handle strict data residency or air-gap requirements?,"For clients where public cloud is not an option, TechD implements IBM Storage Fusion HCI — a hyperconverged on-prem appliance running Red Hat OpenShift, IBM container-native storage, and IBM's cloud-native AI workloads including watsonx and Cloud Pak for Data. TechD owns the landing-zone design, cluster deployment, and day-2 operations."
26,What is the minimum engagement size for TechD?,"TechD works with organizations of any size — from scoped advisory assessments to multi-year enterprise platform programs. The IBM Platform Assessment (a one-day engagement) is a common entry point for organizations that want a structured evaluation before committing to a larger implementation."
27,Does TechD provide references or case studies?,"Yes. TechD's client base includes Johnson & Johnson, Comcast, Sony, Princeton University, and Johns Hopkins, among others. Specific case studies are available upon request through the contact form at /contact. Engagements are typically covered by NDA, so detailed references are provided during the sales process."
